,player_id,player_pp,map_sr,map_id,error_distance,jump_distance
0,My Angel Sayaka,6984,6.54,gmtn,20.80552951621273,0.0
1,My Angel Sayaka,6984,6.54,gmtn,15.903512638722326,313.9187793044564
2,My Angel Sayaka,6984,6.54,gmtn,6.271372417581342,126.25371281669304
3,My Angel Sayaka,6984,6.54,gmtn,4.9214600861939255,100.66280345788111
4,My Angel Sayaka,6984,6.54,gmtn,5.627942135452335,99.62429422585637
5,My Angel Sayaka,6984,6.54,gmtn,16.929116005863964,221.89411889457548
6,My Angel Sayaka,6984,6.54,gmtn,10.370243916249033,142.86357128393507
7,My Angel Sayaka,6984,6.54,gmtn,0.511497341146552,82.3286098510111
8,My Angel Sayaka,6984,6.54,gmtn,9.186588037459838,193.6620768245554
9,My Angel Sayaka,6984,6.54,gmtn,11.378147946959544,151.02979838429235
10,My Angel Sayaka,6984,6.54,gmtn,17.653006338935583,88.81441324469807
11,My Angel Sayaka,6984,6.54,gmtn,9.559856723821737,173.1588865753069
12,My Angel Sayaka,6984,6.54,gmtn,9.136419627512733,103.84603988597736
13,My Angel Sayaka,6984,6.54,gmtn,11.004710224263079,123.5556554755791
14,My Angel Sayaka,6984,6.54,gmtn,6.309774743998409,88.81441324469807
15,My Angel Sayaka,6984,6.54,gmtn,11.411738484560555,122.70289320142373
16,My Angel Sayaka,6984,6.54,gmtn,28.561907832854914,123.0447073221762
17,My Angel Sayaka,6984,6.54,gmtn,7.9594410863389164,176.87566254292872
18,My Angel Sayaka,6984,6.54,gmtn,1.2813292629141158,136.85028315644803
19,My Angel Sayaka,6984,6.54,gmtn,5.474001768359222,154.62535367784935
20,My Angel Sayaka,6984,6.54,gmtn,12.219777889961822,7.615773105863909
21,My Angel Sayaka,6984,6.54,gmtn,12.441765296371726,176.0454486773231
22,My Angel Sayaka,6984,6.54,gmtn,14.22435068641097,94.2019108086455
23,My Angel Sayaka,6984,6.54,gmtn,6.8856927295951795,18.027756377319946
24,My Angel Sayaka,6984,6.54,gmtn,22.298016148816913,224.18296099391677
25,My Angel Sayaka,6984,6.54,gmtn,9.369843145965662,156.81836627130127
26,My Angel Sayaka,6984,6.54,gmtn,9.406925632745304,221.52041849003444
27,My Angel Sayaka,6984,6.54,gmtn,10.522299448314492,207.69207977195472
28,My Angel Sayaka,6984,6.54,gmtn,4.817113600487342,101.44539323202407
29,My Angel Sayaka,6984,6.54,gmtn,5.154171777540986,300.4263636900064
30,My Angel Sayaka,6984,6.54,gmtn,5.023679776816984,5.159051075537025
31,My Angel Sayaka,6984,6.54,gmtn,5.311605875815698,193.61043360315063
32,My Angel Sayaka,6984,6.54,gmtn,15.527482804691815,234.76371099469355
33,My Angel Sayaka,6984,6.54,gmtn,6.831183125930668,27.073972741361768
34,My Angel Sayaka,6984,6.54,gmtn,16.554633570091482,129.24782396620841
35,My Angel Sayaka,6984,6.54,gmtn,9.967487619500712,54.120236510939236
36,My Angel Sayaka,6984,6.54,gmtn,15.806583947520123,54.70831746635972
37,My Angel Sayaka,6984,6.54,gmtn,28.16077653545799,315.67388235329196
38,My Angel Sayaka,6984,6.54,gmtn,18.075171996207942,254.41894583540747
39,My Angel Sayaka,6984,6.54,gmtn,15.132112867346056,347.26358864701035
40,My Angel Sayaka,6984,6.54,gmtn,7.181075517469514,107.62899237658968
41,My Angel Sayaka,6984,6.54,gmtn,9.580271871925119,190.03157632351525
42,My Angel Sayaka,6984,6.54,gmtn,12.799375747828481,283.09715646752795
43,My Angel Sayaka,6984,6.54,gmtn,8.121207980343796,10.816653826391969
44,My Angel Sayaka,6984,6.54,gmtn,3.920985624176651,33.83784863137726
45,My Angel Sayaka,6984,6.54,gmtn,10.353859489581632,12.165525060596439
46,My Angel Sayaka,6984,6.54,gmtn,15.850753410298827,29.0
47,My Angel Sayaka,6984,6.54,gmtn,27.951279576076676,12.36931687685298
48,My Angel Sayaka,6984,6.54,gmtn,25.89051527432391,56.71860364994893
49,My Angel Sayaka,6984,6.54,gmtn,8.174853932028393,220.79175709251467
50,My Angel Sayaka,6984,6.54,gmtn,8.796861405069416,27.16615541441225
51,My Angel Sayaka,6984,6.54,gmtn,21.61205749585402,144.53373308677806
52,My Angel Sayaka,6984,6.54,gmtn,20.694515157886627,227.437903613272
53,My Angel Sayaka,6984,6.54,gmtn,17.611008819965416,40.19950248448356
54,My Angel Sayaka,6984,6.54,gmtn,19.02282640724035,314.02547667346994
55,My Angel Sayaka,6984,6.54,gmtn,21.44352740383215,114.17810311964375
56,My Angel Sayaka,6984,6.54,gmtn,24.844225126374937,354.0
57,My Angel Sayaka,6984,6.54,gmtn,16.461745680701664,258.63101128828305
58,My Angel Sayaka,6984,6.54,gmtn,14.618864548247261,62.64982043070834
59,My Angel Sayaka,6984,6.54,gmtn,10.710884215301743,99.6393496566492
60,My Angel Sayaka,6984,6.54,gmtn,9.10670917126489,107.70329614269008
61,My Angel Sayaka,6984,6.54,gmtn,9.064987062406656,114.75626344561765
62,My Angel Sayaka,6984,6.54,gmtn,15.972314643156768,107.56393447619885
63,My Angel Sayaka,6984,6.54,gmtn,14.589875381578855,31.064449134018133
64,My Angel Sayaka,6984,6.54,gmtn,13.902852615560603,49.39635614091387
65,My Angel Sayaka,6984,6.54,gmtn,6.637025728630262,45.5411901469428
66,My Angel Sayaka,6984,6.54,gmtn,11.345847601655837,101.25709851659784
67,My Angel Sayaka,6984,6.54,gmtn,20.6326913554679,21.400934559032695
68,My Angel Sayaka,6984,6.54,gmtn,12.911184164126848,231.8361490363399
